,id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
582031,582031,Female,29,1,7.0,1,< 1 Year,No,36310.0,152.0,37,0
10610642,10610642,Male,22,1,8.0,1,< 1 Year,No,31588.0,152.0,249,0
6611948,6611948,Male,65,1,5.0,0,> 2 Years,Yes,28177.0,124.0,81,0
6112005,6112005,Female,27,1,36.0,1,< 1 Year,No,48911.0,152.0,290,0
9850206,9850206,Female,23,1,39.0,1,< 1 Year,No,29923.0,152.0,244,0
3786730,3786730,Female,21,1,46.0,1,< 1 Year,No,35178.0,160.0,217,0
3514858,3514858,Male,24,1,37.0,1,< 1 Year,No,34668.0,152.0,247,0
2174570,2174570,Male,78,1,8.0,1,1-2 Year,No,48167.0,26.0,150,0
10768914,10768914,Male,37,1,28.0,0,1-2 Year,Yes,61604.0,124.0,70,0
1035618,1035618,Female,49,1,28.0,0,> 2 Years,Yes,49228.0,26.0,181,1
8640256,8640256,Male,27,1,23.0,1,< 1 Year,No,2630.0,152.0,24,0
61338,61338,Male,54,1,28.0,0,1-2 Year,No,37395.0,26.0,136,0
6919148,6919148,Female,26,1,17.0,1,< 1 Year,No,25892.0,152.0,199,0
3930887,3930887,Male,40,1,51.0,0,< 1 Year,Yes,32524.0,61.0,49,1
10780970,10780970,Male,64,1,28.0,0,1-2 Year,Yes,61601.0,26.0,28,1
6745767,6745767,Male,41,1,15.0,0,1-2 Year,Yes,2630.0,26.0,120,0
6481728,6481728,Male,46,1,8.0,0,> 2 Years,Yes,57423.0,26.0,102,1
10270905,10270905,Male,24,1,36.0,1,< 1 Year,No,32506.0,26.0,76,0
9165322,9165322,Male,41,1,47.0,0,1-2 Year,Yes,34097.0,157.0,228,1
3214353,3214353,Female,29,1,5.0,1,< 1 Year,No,28363.0,152.0,181,0
8360534,8360534,Male,55,1,35.0,0,1-2 Year,No,38403.0,26.0,205,0
1141947,1141947,Male,24,1,8.0,0,< 1 Year,Yes,49517.0,152.0,101,0
3207159,3207159,Male,30,1,3.0,0,< 1 Year,Yes,24423.0,154.0,150,0
2502524,2502524,Male,46,1,28.0,0,1-2 Year,Yes,35138.0,26.0,202,1
498886,498886,Female,25,1,45.0,1,< 1 Year,No,2630.0,26.0,105,0
1191407,1191407,Female,42,1,39.0,0,1-2 Year,Yes,34296.0,124.0,251,0
5212894,5212894,Male,39,1,42.0,1,1-2 Year,Yes,2630.0,157.0,240,0
1609608,1609608,Female,20,1,46.0,1,< 1 Year,No,28145.0,160.0,243,0
8814041,8814041,Female,22,1,41.0,0,< 1 Year,Yes,34683.0,152.0,27,0
1116950,1116950,Female,26,1,15.0,1,< 1 Year,No,28531.0,152.0,245,0
5964585,5964585,Female,46,1,28.0,0,1-2 Year,Yes,66828.0,26.0,37,1
1345996,1345996,Female,29,1,6.0,0,< 1 Year,Yes,2630.0,160.0,268,0
8444127,8444127,Female,53,1,8.0,0,1-2 Year,Yes,32978.0,8.0,207,0
10868287,10868287,Female,66,1,8.0,1,1-2 Year,No,2630.0,124.0,288,0
1113852,1113852,Female,25,1,35.0,1,< 1 Year,No,27555.0,152.0,222,0
1725956,1725956,Female,76,1,8.0,1,1-2 Year,No,56599.0,26.0,227,0
5042934,5042934,Female,43,1,47.0,1,1-2 Year,No,27404.0,122.0,218,0
5382716,5382716,Female,63,1,28.0,0,> 2 Years,Yes,52778.0,26.0,207,0
6184324,6184324,Male,20,1,8.0,0,< 1 Year,No,38234.0,160.0,93,0
6043661,6043661,Male,42,1,36.0,0,1-2 Year,Yes,32133.0,124.0,287,0
1842693,1842693,Female,62,1,28.0,0,> 2 Years,Yes,47335.0,3.0,86,1
2159731,2159731,Male,34,1,18.0,0,1-2 Year,Yes,2630.0,124.0,147,0
8166637,8166637,Female,65,1,35.0,0,1-2 Year,Yes,28275.0,26.0,11,1
1409699,1409699,Female,23,1,48.0,1,1-2 Year,Yes,2630.0,154.0,77,0
1575979,1575979,Female,28,1,41.0,0,< 1 Year,Yes,28394.0,152.0,219,0
2677115,2677115,Female,21,1,17.0,0,< 1 Year,Yes,30833.0,160.0,192,0
4255735,4255735,Male,35,1,7.0,0,1-2 Year,Yes,2630.0,154.0,21,0
3256617,3256617,Male,24,1,11.0,1,< 1 Year,No,23862.0,152.0,87,0
7226630,7226630,Female,48,1,6.0,0,1-2 Year,Yes,2630.0,26.0,176,1
1356747,1356747,Male,49,1,18.0,0,1-2 Year,Yes,2630.0,26.0,203,0
1929067,1929067,Female,72,1,50.0,1,1-2 Year,No,34271.0,18.0,101,0
8689627,8689627,Female,49,1,8.0,1,1-2 Year,No,2630.0,26.0,280,0
7317522,7317522,Male,37,1,50.0,0,1-2 Year,No,30831.0,124.0,73,0
7481391,7481391,Male,46,1,28.0,0,1-2 Year,Yes,38014.0,26.0,131,1
7893323,7893323,Male,43,1,28.0,0,> 2 Years,Yes,53218.0,26.0,91,0
6143990,6143990,Male,25,1,47.0,1,< 1 Year,No,25893.0,152.0,186,0
1743682,1743682,Female,45,1,20.0,0,1-2 Year,Yes,2630.0,124.0,265,1
1002632,1002632,Female,50,1,28.0,0,1-2 Year,Yes,48680.0,124.0,160,0
3131758,3131758,Female,44,1,28.0,0,1-2 Year,Yes,43287.0,26.0,182,0
9344517,9344517,Male,24,1,8.0,1,< 1 Year,No,37661.0,152.0,103,0
1774593,1774593,Female,24,1,11.0,1,< 1 Year,No,30221.0,152.0,123,0
2574013,2574013,Male,25,1,28.0,0,< 1 Year,Yes,43861.0,151.0,209,0
8709716,8709716,Male,25,1,11.0,1,< 1 Year,No,23499.0,152.0,226,0
8585433,8585433,Male,41,1,28.0,0,1-2 Year,Yes,42123.0,124.0,119,1
6940936,6940936,Male,63,1,28.0,0,1-2 Year,Yes,57334.0,26.0,186,1
7489809,7489809,Female,21,1,28.0,0,< 1 Year,Yes,39469.0,160.0,149,0
4552200,4552200,Male,47,1,28.0,0,> 2 Years,Yes,51333.0,124.0,287,1
9897619,9897619,Female,25,1,28.0,1,< 1 Year,No,47617.0,152.0,65,0
9508331,9508331,Male,46,1,28.0,0,1-2 Year,Yes,44792.0,122.0,275,0
4251527,4251527,Female,25,1,14.0,1,< 1 Year,No,40071.0,152.0,257,0
7103271,7103271,Male,37,1,28.0,0,1-2 Year,Yes,27246.0,163.0,222,0
9805415,9805415,Female,50,1,28.0,0,1-2 Year,Yes,48833.0,26.0,175,0
1814640,1814640,Female,48,1,8.0,0,> 2 Years,Yes,45233.0,154.0,297,0
3293899,3293899,Female,25,1,28.0,0,< 1 Year,Yes,58750.0,152.0,71,0
45901,45901,Female,45,1,28.0,0,1-2 Year,Yes,40290.0,26.0,188,1
5796897,5796897,Female,25,1,17.0,0,< 1 Year,Yes,2630.0,152.0,295,0
8230388,8230388,Male,48,1,43.0,0,1-2 Year,Yes,26926.0,26.0,59,1
2069008,2069008,Female,21,1,30.0,0,< 1 Year,Yes,39420.0,152.0,202,0
3822888,3822888,Male,61,1,8.0,0,1-2 Year,No,2630.0,26.0,76,0
1261589,1261589,Female,62,1,8.0,0,1-2 Year,Yes,50706.0,7.0,149,0
4447251,4447251,Male,53,1,28.0,0,1-2 Year,Yes,48440.0,26.0,100,0
11096685,11096685,Male,51,1,8.0,0,1-2 Year,Yes,37395.0,157.0,144,1
213512,213512,Male,53,1,50.0,0,1-2 Year,Yes,28186.0,124.0,291,0
8410739,8410739,Female,20,1,27.0,0,< 1 Year,No,2630.0,160.0,156,0
7893728,7893728,Female,32,1,37.0,0,< 1 Year,Yes,2630.0,124.0,133,0
2881563,2881563,Male,28,1,47.0,0,< 1 Year,No,34167.0,152.0,98,0
9234604,9234604,Male,39,1,24.0,0,1-2 Year,Yes,29938.0,26.0,252,0
5805880,5805880,Male,38,1,43.0,0,1-2 Year,Yes,33366.0,124.0,298,0
9431533,9431533,Female,25,1,34.0,0,< 1 Year,Yes,31349.0,152.0,59,0
7993064,7993064,Male,46,1,14.0,0,1-2 Year,Yes,2630.0,156.0,293,1
4486230,4486230,Female,24,1,3.0,1,< 1 Year,No,24884.0,152.0,248,0
367801,367801,Male,47,1,21.0,1,1-2 Year,No,26585.0,124.0,256,0
2118874,2118874,Male,45,1,19.0,0,1-2 Year,Yes,31782.0,124.0,80,0
7892024,7892024,Male,22,1,28.0,1,< 1 Year,No,49118.0,152.0,147,0
3345681,3345681,Female,22,1,30.0,1,< 1 Year,Yes,2630.0,156.0,197,0
3309484,3309484,Male,45,1,28.0,1,1-2 Year,Yes,40346.0,124.0,215,0
6691644,6691644,Male,57,1,37.0,1,1-2 Year,No,2630.0,152.0,281,0
168946,168946,Female,44,1,18.0,0,1-2 Year,No,2630.0,156.0,250,0
1461558,1461558,Male,24,1,41.0,1,< 1 Year,No,24777.0,152.0,161,0
4530117,4530117,Male,74,1,28.0,0,1-2 Year,Yes,36998.0,26.0,34,0
1667497,1667497,Male,40,1,21.0,1,1-2 Year,No,2630.0,152.0,247,0
605754,605754,Female,24,1,28.0,1,< 1 Year,No,20296.0,152.0,93,0
2340234,2340234,Male,23,1,28.0,1,< 1 Year,No,30595.0,152.0,33,0
2536002,2536002,Female,41,1,28.0,0,1-2 Year,Yes,32582.0,124.0,75,0
2149745,2149745,Male,46,1,28.0,0,1-2 Year,Yes,39408.0,124.0,217,1
2753708,2753708,Female,22,1,8.0,1,< 1 Year,No,32379.0,152.0,282,0
2994241,2994241,Male,24,1,8.0,1,< 1 Year,No,36310.0,152.0,251,0
2237950,2237950,Female,31,1,18.0,0,< 1 Year,Yes,31953.0,152.0,88,0
6392485,6392485,Female,22,1,15.0,0,< 1 Year,Yes,34682.0,152.0,213,0
8058828,8058828,Female,25,1,14.0,1,< 1 Year,No,36007.0,152.0,275,0
1452207,1452207,Male,56,1,8.0,1,1-2 Year,No,33581.0,7.0,56,0
6954658,6954658,Female,25,1,36.0,0,< 1 Year,Yes,37013.0,152.0,86,0
6939479,6939479,Female,22,1,11.0,1,< 1 Year,No,28405.0,152.0,94,0
1194334,1194334,Female,24,1,14.0,1,< 1 Year,No,25325.0,152.0,111,0
2022552,2022552,Female,23,1,41.0,1,< 1 Year,No,2630.0,152.0,122,0
3698931,3698931,Male,25,1,49.0,0,< 1 Year,Yes,32135.0,152.0,15,1
10323083,10323083,Female,76,1,28.0,1,1-2 Year,No,41003.0,124.0,256,0
4457826,4457826,Female,30,1,28.0,0,< 1 Year,Yes,44926.0,124.0,32,0
4143411,4143411,Female,30,1,11.0,0,< 1 Year,Yes,2630.0,124.0,42,1
7120363,7120363,Male,21,1,28.0,0,< 1 Year,No,49324.0,152.0,114,0
5624214,5624214,Female,22,1,8.0,0,< 1 Year,No,34299.0,152.0,21,0
5990926,5990926,Female,49,1,39.0,0,1-2 Year,Yes,2630.0,26.0,278,1
1673920,1673920,Male,22,1,34.0,0,< 1 Year,Yes,39368.0,152.0,149,1
754272,754272,Male,25,1,33.0,1,< 1 Year,No,40074.0,152.0,54,0
9468532,9468532,Female,22,1,29.0,1,< 1 Year,No,2630.0,152.0,271,0
5179129,5179129,Male,51,1,8.0,0,< 1 Year,No,2630.0,1.0,52,0
169624,169624,Male,61,1,46.0,0,> 2 Years,Yes,43497.0,11.0,141,0
4718942,4718942,Male,52,1,11.0,1,1-2 Year,No,29212.0,26.0,172,0
11324864,11324864,Female,37,1,3.0,0,1-2 Year,Yes,2630.0,156.0,143,0
5459249,5459249,Female,22,1,4.0,1,< 1 Year,No,36758.0,152.0,282,0
9745702,9745702,Male,52,1,4.0,0,1-2 Year,Yes,2630.0,156.0,134,1
5493532,5493532,Female,50,1,28.0,0,1-2 Year,Yes,43173.0,26.0,101,1
3260854,3260854,Male,32,1,47.0,0,1-2 Year,Yes,2630.0,156.0,244,1
10148864,10148864,Male,26,1,15.0,1,< 1 Year,No,40987.0,152.0,174,0
11304214,11304214,Female,28,1,11.0,0,< 1 Year,Yes,2630.0,156.0,79,0
8482552,8482552,Male,30,1,21.0,1,< 1 Year,No,31364.0,152.0,195,0
5994027,5994027,Female,35,1,28.0,1,1-2 Year,No,40778.0,152.0,78,0
3654627,3654627,Male,31,1,41.0,1,< 1 Year,No,53377.0,152.0,209,0
5307685,5307685,Male,54,1,28.0,0,1-2 Year,Yes,56383.0,26.0,63,0
6115177,6115177,Male,43,1,33.0,1,1-2 Year,No,28592.0,152.0,244,0
4036548,4036548,Female,37,1,28.0,0,1-2 Year,Yes,38125.0,155.0,73,0
8814270,8814270,Male,51,1,28.0,0,1-2 Year,Yes,45680.0,26.0,64,0
1654795,1654795,Female,23,1,28.0,1,< 1 Year,No,51358.0,152.0,110,0
4290760,4290760,Male,24,1,14.0,1,< 1 Year,No,31400.0,152.0,213,0
693677,693677,Female,23,1,28.0,1,< 1 Year,No,47652.0,152.0,187,0
516937,516937,Female,81,1,28.0,0,1-2 Year,Yes,47383.0,25.0,232,1
8257614,8257614,Female,26,1,15.0,1,< 1 Year,No,29082.0,152.0,292,0
3306393,3306393,Female,59,1,28.0,0,1-2 Year,No,46735.0,124.0,90,0
9875909,9875909,Female,22,1,36.0,1,< 1 Year,No,33095.0,152.0,78,0
5409084,5409084,Male,26,1,41.0,1,< 1 Year,No,32852.0,152.0,92,0
5539603,5539603,Female,66,1,28.0,0,> 2 Years,Yes,58872.0,25.0,248,0
4996676,4996676,Male,42,1,28.0,0,1-2 Year,Yes,49015.0,163.0,183,1
1595093,1595093,Female,35,1,28.0,0,1-2 Year,Yes,53544.0,26.0,63,0
1379518,1379518,Male,25,1,21.0,1,< 1 Year,No,38115.0,152.0,263,0
5577247,5577247,Male,37,1,14.0,0,1-2 Year,Yes,2630.0,157.0,160,0
4289393,4289393,Male,31,1,28.0,0,1-2 Year,Yes,39374.0,154.0,154,0
5684021,5684021,Male,60,1,8.0,1,1-2 Year,No,40395.0,26.0,70,0
10619232,10619232,Female,24,1,28.0,1,< 1 Year,No,40029.0,152.0,131,0
9168553,9168553,Male,23,1,8.0,1,< 1 Year,No,24296.0,160.0,170,0
4983855,4983855,Male,39,1,28.0,0,1-2 Year,Yes,48144.0,52.0,156,1
7229935,7229935,Male,29,1,41.0,1,< 1 Year,No,25690.0,152.0,78,0
10861247,10861247,Male,44,1,28.0,0,1-2 Year,Yes,43229.0,124.0,17,0
2262988,2262988,Male,51,1,28.0,0,> 2 Years,Yes,44937.0,30.0,216,0
184455,184455,Male,60,1,8.0,0,1-2 Year,Yes,46406.0,124.0,134,0
8800910,8800910,Male,67,1,28.0,1,1-2 Year,No,49042.0,26.0,109,0
6327492,6327492,Male,49,1,28.0,0,1-2 Year,Yes,27314.0,26.0,242,0
5700767,5700767,Female,24,1,13.0,1,< 1 Year,No,25161.0,152.0,77,0
9787916,9787916,Male,22,1,28.0,0,< 1 Year,Yes,36987.0,26.0,12,0
1127043,1127043,Female,28,1,8.0,0,< 1 Year,No,46740.0,152.0,245,0
1429641,1429641,Female,26,1,28.0,1,< 1 Year,No,61181.0,160.0,164,0
3030667,3030667,Female,50,1,30.0,1,1-2 Year,No,2630.0,152.0,88,0
967578,967578,Male,51,1,28.0,0,1-2 Year,Yes,33258.0,26.0,232,0
6493771,6493771,Male,23,1,11.0,1,< 1 Year,No,35373.0,152.0,199,0
104993,104993,Male,22,1,8.0,1,< 1 Year,No,48976.0,152.0,292,0
8022556,8022556,Male,29,1,28.0,1,< 1 Year,No,45130.0,152.0,187,0
9398167,9398167,Female,31,1,41.0,0,< 1 Year,Yes,31223.0,152.0,268,1
7707512,7707512,Female,30,1,10.0,0,< 1 Year,Yes,2630.0,152.0,269,0
5789794,5789794,Male,71,1,28.0,1,1-2 Year,No,2630.0,124.0,256,0
1956845,1956845,Male,23,1,48.0,1,< 1 Year,No,2630.0,160.0,281,0
7137460,7137460,Male,35,1,48.0,0,1-2 Year,No,2630.0,124.0,130,0
2591838,2591838,Male,46,1,28.0,0,1-2 Year,Yes,50467.0,26.0,232,0
3799459,3799459,Male,26,1,26.0,1,< 1 Year,No,25225.0,152.0,76,0
1143925,1143925,Male,23,1,50.0,1,< 1 Year,No,45677.0,152.0,113,0
10333889,10333889,Male,55,1,11.0,0,1-2 Year,Yes,32516.0,124.0,52,0
1929492,1929492,Male,53,1,6.0,0,1-2 Year,Yes,2630.0,163.0,15,1
3285174,3285174,Female,25,1,50.0,1,< 1 Year,No,28920.0,152.0,122,0
6048596,6048596,Female,41,1,3.0,0,1-2 Year,Yes,25215.0,155.0,217,0
1238970,1238970,Male,48,1,14.0,0,1-2 Year,Yes,37018.0,124.0,103,0
3189179,3189179,Male,49,1,28.0,0,1-2 Year,Yes,45209.0,26.0,292,0
7245321,7245321,Male,39,1,39.0,1,1-2 Year,No,55196.0,124.0,80,0
8711306,8711306,Male,28,1,15.0,0,< 1 Year,Yes,33565.0,155.0,205,1
10450320,10450320,Male,30,1,28.0,0,< 1 Year,Yes,70570.0,122.0,19,0
5742478,5742478,Female,23,1,34.0,0,< 1 Year,No,37494.0,152.0,106,0
1915579,1915579,Female,22,1,8.0,0,< 1 Year,Yes,30706.0,152.0,248,0
8665055,8665055,Male,43,1,28.0,0,1-2 Year,Yes,59065.0,26.0,57,0
4132503,4132503,Male,52,1,46.0,0,1-2 Year,Yes,27124.0,30.0,184,0
4593680,4593680,Female,25,1,28.0,0,< 1 Year,Yes,48324.0,122.0,188,0
3132290,3132290,Male,49,1,47.0,1,1-2 Year,No,32348.0,16.0,237,0
5079450,5079450,Male,22,1,28.0,1,< 1 Year,No,45155.0,153.0,130,0
10764805,10764805,Male,55,1,28.0,0,> 2 Years,Yes,59517.0,26.0,283,0
1463679,1463679,Male,47,1,28.0,0,1-2 Year,Yes,44733.0,26.0,179,1
11401173,11401173,Male,23,1,30.0,1,< 1 Year,No,33455.0,152.0,49,0
844162,844162,Male,25,1,28.0,1,< 1 Year,No,29555.0,152.0,113,0
7172231,7172231,Male,20,1,47.0,0,< 1 Year,Yes,38234.0,160.0,92,0
3553821,3553821,Male,57,1,8.0,1,1-2 Year,Yes,39644.0,26.0,74,0
10694888,10694888,Male,25,1,33.0,1,< 1 Year,No,32477.0,151.0,42,0
4267612,4267612,Male,63,1,28.0,0,> 2 Years,Yes,47759.0,26.0,62,0
2205194,2205194,Female,22,1,8.0,1,< 1 Year,No,49599.0,152.0,219,0
6719342,6719342,Female,38,1,28.0,0,> 2 Years,Yes,41817.0,26.0,63,1
247533,247533,Female,23,1,6.0,1,< 1 Year,No,22740.0,152.0,33,0
3531814,3531814,Female,22,1,43.0,1,< 1 Year,No,33816.0,152.0,287,0
10804448,10804448,Male,24,1,30.0,1,< 1 Year,No,30204.0,152.0,70,0
36509,36509,Female,25,1,45.0,1,< 1 Year,No,27534.0,152.0,163,0
9309343,9309343,Female,22,1,8.0,1,< 1 Year,No,26202.0,160.0,291,0
5611179,5611179,Male,46,1,28.0,1,1-2 Year,No,24989.0,124.0,160,0
6760363,6760363,Male,63,1,22.0,0,1-2 Year,Yes,27256.0,26.0,96,0
5338273,5338273,Female,21,1,32.0,1,< 1 Year,No,32263.0,152.0,246,0
695085,695085,Female,26,1,28.0,1,< 1 Year,No,32207.0,152.0,24,0
10706830,10706830,Female,22,1,30.0,0,< 1 Year,Yes,26218.0,152.0,91,0
2311571,2311571,Female,24,1,41.0,1,< 1 Year,No,26003.0,152.0,162,0
9003521,9003521,Male,27,1,21.0,1,< 1 Year,No,29468.0,152.0,59,0
537048,537048,Male,35,1,29.0,0,1-2 Year,Yes,23989.0,124.0,63,0
2327557,2327557,Female,27,1,41.0,1,< 1 Year,No,38501.0,152.0,182,0
3529552,3529552,Male,53,1,28.0,0,1-2 Year,Yes,46622.0,26.0,265,0
10680681,10680681,Male,43,1,35.0,0,1-2 Year,Yes,27765.0,26.0,84,0
2156301,2156301,Female,26,1,10.0,1,< 1 Year,No,27192.0,152.0,156,0
747565,747565,Male,63,1,28.0,1,1-2 Year,No,48231.0,122.0,138,0
3422656,3422656,Male,23,1,11.0,1,< 1 Year,Yes,2630.0,152.0,96,0
4273730,4273730,Female,25,1,28.0,1,< 1 Year,No,52749.0,152.0,93,0
7702432,7702432,Female,22,1,45.0,1,< 1 Year,No,22329.0,152.0,199,0
8070665,8070665,Female,23,1,29.0,1,< 1 Year,No,29988.0,152.0,212,0
4986689,4986689,Male,56,1,28.0,0,> 2 Years,Yes,44769.0,26.0,203,0
10675212,10675212,Female,48,1,28.0,1,1-2 Year,No,44702.0,52.0,57,0
5818149,5818149,Female,38,1,32.0,1,1-2 Year,No,2630.0,124.0,70,0
5388668,5388668,Female,21,1,36.0,1,< 1 Year,Yes,28195.0,152.0,239,0
3518212,3518212,Female,29,1,33.0,1,< 1 Year,No,28273.0,152.0,298,0
8004520,8004520,Male,43,1,28.0,0,1-2 Year,Yes,35495.0,61.0,285,0
10435452,10435452,Female,38,1,28.0,0,1-2 Year,No,28311.0,4.0,104,0
9879812,9879812,Female,26,1,8.0,1,< 1 Year,No,29659.0,152.0,109,0
10886652,10886652,Male,56,1,36.0,0,1-2 Year,Yes,59985.0,26.0,204,1
200141,200141,Male,23,1,28.0,0,< 1 Year,Yes,28951.0,152.0,77,0
10028158,10028158,Female,22,1,14.0,1,< 1 Year,No,38172.0,152.0,30,0
9600319,9600319,Male,47,1,11.0,0,1-2 Year,Yes,28598.0,124.0,150,0
364452,364452,Female,68,1,30.0,1,1-2 Year,No,2630.0,26.0,209,0
4615852,4615852,Female,23,1,27.0,1,< 1 Year,No,22696.0,152.0,145,0
11295699,11295699,Female,25,1,27.0,0,< 1 Year,Yes,2630.0,160.0,273,0
2881400,2881400,Male,63,1,28.0,1,1-2 Year,No,48716.0,55.0,160,0
6749985,6749985,Female,22,1,29.0,1,< 1 Year,No,27245.0,152.0,294,0
8101511,8101511,Male,61,1,15.0,0,1-2 Year,Yes,2630.0,154.0,181,0
5187068,5187068,Female,68,1,27.0,0,1-2 Year,Yes,2630.0,124.0,107,0
6048876,6048876,Male,26,1,28.0,0,< 1 Year,Yes,29884.0,152.0,62,0
5882980,5882980,Female,30,1,19.0,1,< 1 Year,No,34976.0,152.0,42,0
6449486,6449486,Male,24,1,28.0,0,< 1 Year,Yes,32857.0,154.0,144,1
6695785,6695785,Male,23,1,15.0,1,< 1 Year,No,38995.0,152.0,182,0
1402543,1402543,Male,38,1,8.0,0,1-2 Year,No,28795.0,157.0,172,0
9615745,9615745,Male,21,1,46.0,1,< 1 Year,No,44699.0,152.0,157,0
8333766,8333766,Female,41,1,8.0,1,1-2 Year,No,34729.0,26.0,216,0
9401935,9401935,Female,47,1,31.0,1,1-2 Year,No,2630.0,26.0,148,0
9003772,9003772,Female,54,1,28.0,0,1-2 Year,Yes,39802.0,26.0,137,1
3619109,3619109,Female,50,1,28.0,0,1-2 Year,Yes,44939.0,26.0,114,0
3257326,3257326,Female,23,1,8.0,0,< 1 Year,Yes,68900.0,152.0,119,0
11062213,11062213,Female,21,1,46.0,1,< 1 Year,No,31180.0,152.0,132,0
2713331,2713331,Female,22,1,8.0,0,< 1 Year,Yes,34296.0,152.0,202,0
3959391,3959391,Female,50,1,28.0,0,1-2 Year,Yes,34876.0,26.0,169,0
5898857,5898857,Female,23,1,7.0,1,< 1 Year,No,35358.0,26.0,203,0
6346459,6346459,Female,24,1,36.0,0,< 1 Year,Yes,38403.0,152.0,205,0
10378266,10378266,Male,42,1,19.0,1,1-2 Year,No,23867.0,55.0,193,0
4101976,4101976,Female,29,1,36.0,0,< 1 Year,No,31089.0,152.0,143,0
5837402,5837402,Male,42,1,28.0,0,1-2 Year,Yes,51695.0,26.0,28,0
10500610,10500610,Female,36,1,18.0,0,1-2 Year,Yes,37239.0,124.0,213,1
5040931,5040931,Male,36,1,28.0,0,1-2 Year,Yes,46393.0,124.0,205,1
10313788,10313788,Male,30,1,8.0,0,1-2 Year,Yes,30149.0,124.0,284,1
10763296,10763296,Female,75,1,28.0,0,1-2 Year,Yes,28656.0,26.0,103,0
1232916,1232916,Female,24,1,41.0,0,< 1 Year,Yes,29808.0,152.0,130,0
6620533,6620533,Female,22,1,41.0,1,< 1 Year,No,25891.0,152.0,170,0
6687004,6687004,Male,60,1,15.0,0,1-2 Year,Yes,2630.0,26.0,228,0
3442419,3442419,Female,53,1,40.0,0,1-2 Year,Yes,32197.0,26.0,71,0
5457419,5457419,Female,22,1,37.0,1,< 1 Year,No,2630.0,160.0,216,0
2818331,2818331,Male,72,1,28.0,0,1-2 Year,Yes,50207.0,26.0,247,0
7436999,7436999,Male,43,1,28.0,0,1-2 Year,Yes,38678.0,124.0,292,0
4387500,4387500,Male,58,1,52.0,0,1-2 Year,Yes,45114.0,26.0,160,1
6948359,6948359,Female,44,1,20.0,0,1-2 Year,Yes,2630.0,124.0,127,1
2975224,2975224,Male,24,1,6.0,0,< 1 Year,No,2630.0,160.0,204,0
738345,738345,Female,44,1,20.0,0,1-2 Year,Yes,2630.0,26.0,194,0
6533109,6533109,Male,41,1,45.0,0,1-2 Year,Yes,29501.0,124.0,111,1
1270785,1270785,Male,32,1,47.0,0,< 1 Year,Yes,33182.0,158.0,193,0
4990759,4990759,Female,23,1,46.0,0,< 1 Year,Yes,27488.0,152.0,98,0
10990949,10990949,Male,48,1,28.0,0,> 2 Years,Yes,39014.0,124.0,76,0
129051,129051,Male,54,1,28.0,0,1-2 Year,No,64206.0,52.0,211,0
621856,621856,Male,22,1,47.0,1,< 1 Year,No,29194.0,152.0,109,0
7380757,7380757,Male,22,1,28.0,1,< 1 Year,No,58845.0,152.0,199,0
8613019,8613019,Male,47,1,28.0,0,1-2 Year,Yes,49140.0,26.0,162,0
6206837,6206837,Male,46,1,36.0,0,1-2 Year,Yes,2630.0,26.0,151,1
3600441,3600441,Male,42,1,28.0,0,1-2 Year,No,32172.0,124.0,198,0
7464530,7464530,Female,29,1,8.0,1,< 1 Year,No,36263.0,152.0,260,0
7333410,7333410,Female,25,1,41.0,1,< 1 Year,No,30793.0,152.0,81,0
2740852,2740852,Male,24,1,29.0,1,1-2 Year,No,2630.0,163.0,14,0
5691757,5691757,Male,42,1,8.0,0,> 2 Years,Yes,2630.0,156.0,98,0
382081,382081,Female,27,1,15.0,0,< 1 Year,Yes,34102.0,152.0,178,0
4134692,4134692,Female,29,1,29.0,0,1-2 Year,Yes,2630.0,156.0,73,1
8554037,8554037,Male,20,1,28.0,0,< 1 Year,Yes,25259.0,158.0,236,0
8047655,8047655,Female,25,1,11.0,1,< 1 Year,No,24357.0,152.0,257,0
5187725,5187725,Male,75,1,11.0,0,> 2 Years,Yes,29653.0,26.0,97,0
5550709,5550709,Male,24,1,28.0,1,< 1 Year,No,35349.0,152.0,148,0
6735981,6735981,Male,58,1,28.0,0,1-2 Year,Yes,39872.0,26.0,213,1
5259630,5259630,Male,43,1,28.0,0,1-2 Year,Yes,40917.0,26.0,158,1
5715380,5715380,Female,38,1,28.0,0,1-2 Year,Yes,30953.0,124.0,181,0
365267,365267,Male,24,1,6.0,1,< 1 Year,No,24888.0,152.0,23,0
5486678,5486678,Female,63,1,28.0,1,1-2 Year,No,56712.0,26.0,63,0
6586697,6586697,Male,31,1,29.0,1,< 1 Year,No,37309.0,152.0,189,0
6978164,6978164,Female,25,1,29.0,1,< 1 Year,No,35382.0,152.0,194,0
9521002,9521002,Male,28,1,8.0,1,< 1 Year,No,2630.0,152.0,58,0
9995476,9995476,Male,63,1,8.0,0,1-2 Year,Yes,2630.0,7.0,149,0
902766,902766,Female,34,1,41.0,0,1-2 Year,Yes,49652.0,26.0,75,0
786993,786993,Female,28,1,28.0,1,< 1 Year,No,32823.0,152.0,174,0
6800729,6800729,Male,55,1,28.0,0,1-2 Year,Yes,51728.0,26.0,185,0
2034083,2034083,Female,35,1,28.0,0,1-2 Year,Yes,48115.0,122.0,70,0
